Date,Customer Acquisition Type,State,Product,Price,Units,Revenue,Delivery Performance,Return,Customer Satisfaction,,,,,,,,,,,
06-10-2017,Ad,Florida,Product 1,499,3,1497,on-time,no,(1) very low,,,,,,,,,,,
06-10-2017,Ad,South Carolina,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
06-10-2017,Ad,Georgia,Product 1,499,7,3493,delayed,no,(2) low,,,,,,,,,,,
07-10-2017,Ad,Georgia,Product 1,499,8,3992,on-time,no,(5) very high,,,,,,,,,,,
10-10-2017,Ad,Mississippi,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
13-10-2017,Ad,Alabama,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
19-10-2017,Ad,Georgia,Product 1,499,2,998,on-time,no,(5) very high,,,,,,,,,,,
23-10-2017,Ad,South Carolina,Product 1,499,2,998,delayed,no,(1) very low,,,,,,,,,,,
01-11-2017,Ad,Georgia,Product 1,499,4,1996,on-time,no,(2) low,,,,,,,,,,,
01-11-2017,Ad,Florida,Product 1,499,4,1996,delayed,no,(2) low,,,,,,,,,,,
01-11-2017,Ad,Mississippi,Product 1,499,10,4990,on-time,no,(3) ok,,,,,,,,,,,
01-11-2017,Ad,Alabama,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
03-11-2017,Ad,Georgia,Product 1,499,7,3493,on-time,no,(5) very high,,,,,,,,,,,
05-11-2017,Ad,Tennessee,Product 1,499,4,1996,delayed,no,(5) very high,,,,,,,,,,,
08-11-2017,Ad,South Carolina,Product 1,499,1,499,on-time,no,(5) very high,,,,,,,,,,,
10-11-2017,Ad,Tennessee,Product 1,499,8,3992,delayed,no,(4) high,,,,,,,,,,,
10-11-2017,Ad,Alabama,Product 1,499,7,3493,delayed,no,(3) ok,,,,,,,,,,,
10-11-2017,Ad,Tennessee,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
10-11-2017,Ad,Alabama,Product 1,499,2,998,delayed,yes,(1) very low,,,,,,,,,,,
10-11-2017,Ad,South Carolina,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
16-11-2017,Ad,Tennessee,Product 1,499,9,4491,delayed,no,(2) low,,,,,,,,,,,
16-11-2017,Ad,North Carolina,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
25-11-2017,Ad,Tennessee,Product 1,499,1,499,on-time,no,(4) high,,,,,,,,,,,
25-11-2017,Ad,Tennessee,Product 1,499,5,2495,on-time,no,(1) very low,,,,,,,,,,,
01-12-2017,Ad,Tennessee,Product 1,499,3,1497,delayed,no,(3) ok,,,,,,,,,,,
03-12-2017,Ad,Florida,Product 1,499,7,3493,delayed,no,(3) ok,,,,,,,,,,,
05-12-2017,Ad,Florida,Product 1,499,9,4491,on-time,no,(4) high,,,,,,,,,,,
05-12-2017,Ad,Florida,Product 1,499,7,3493,delayed,no,(2) low,,,,,,,,,,,
09-12-2017,Ad,Alabama,Product 1,499,1,499,delayed,no,(3) ok,,,,,,,,,,,
12-12-2017,Ad,Alabama,Product 1,499,6,2994,on-time,no,(4) high,,,,,,,,,,,
13-12-2017,Ad,Alabama,Product 1,499,6,2994,on-time,no,(2) low,,,,,,,,,,,
14-12-2017,Ad,Georgia,Product 1,499,9,4491,delayed,no,(5) very high,,,,,,,,,,,
26-12-2017,Ad,Mississippi,Product 1,499,3,1497,on-time,no,(4) high,,,,,,,,,,,
26-12-2017,Ad,Alabama,Product 1,499,7,3493,on-time,no,(4) high,,,,,,,,,,,
31-12-2017,Ad,Florida,Product 1,499,3,1497,on-time,no,(1) very low,,,,,,,,,,,
02-01-2018,Ad,Mississippi,Product 1,499,2,998,on-time,no,(4) high,,,,,,,,,,,
02-01-2018,Ad,Alabama,Product 1,499,2,998,on-time,yes,(1) very low,,,,,,,,,,,
02-01-2018,Ad,Georgia,Product 1,499,2,998,delayed,no,(3) ok,,,,,,,,,,,
02-01-2018,Ad,Alabama,Product 1,499,4,1996,on-time,no,(2) low,,,,,,,,,,,
12-01-2018,Ad,North Carolina,Product 1,499,2,998,on-time,no,(2) low,,,,,,,,,,,
14-01-2018,Ad,Florida,Product 1,499,2,998,on-time,no,(4) high,,,,,,,,,,,
14-01-2018,Ad,North Carolina,Product 1,499,10,4990,on-time,no,(5) very high,,,,,,,,,,,
15-01-2018,Ad,Alabama,Product 1,499,4,1996,delayed,no,(4) high,,,,,,,,,,,
20-01-2018,Ad,Florida,Product 1,499,10,4990,delayed,no,(4) high,,,,,,,,,,,
20-01-2018,Ad,North Carolina,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
29-01-2018,Ad,Georgia,Product 1,499,5,2495,on-time,no,(2) low,,,,,,,,,,,
29-01-2018,Ad,North Carolina,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
03-02-2018,Ad,Florida,Product 1,499,4,1996,on-time,no,(4) high,,,,,,,,,,,
03-02-2018,Ad,South Carolina,Product 1,499,2,998,delayed,no,(2) low,,,,,,,,,,,
09-02-2018,Ad,Tennessee,Product 1,499,3,1497,delayed,no,(2) low,,,,,,,,,,,
16-02-2018,Ad,Florida,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
16-02-2018,Ad,Alabama,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
21-02-2018,Ad,Alabama,Product 1,499,10,4990,on-time,no,(3) ok,,,,,,,,,,,
23-02-2018,Ad,North Carolina,Product 1,499,8,3992,delayed,no,(3) ok,,,,,,,,,,,
23-02-2018,Ad,Mississippi,Product 1,499,6,2994,delayed,yes,(3) ok,,,,,,,,,,,
02-03-2018,Ad,Florida,Product 1,499,2,998,delayed,no,(2) low,,,,,,,,,,,
02-03-2018,Ad,Mississippi,Product 1,499,7,3493,delayed,no,(3) ok,,,,,,,,,,,
03-03-2018,Ad,Florida,Product 1,499,7,3493,delayed,no,(2) low,,,,,,,,,,,
06-03-2018,Ad,Alabama,Product 1,499,2,998,delayed,no,(2) low,,,,,,,,,,,
10-03-2018,Ad,Alabama,Product 1,499,1,499,on-time,no,(2) low,,,,,,,,,,,
14-03-2018,Ad,Tennessee,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
15-03-2018,Ad,Alabama,Product 1,499,6,2994,on-time,no,(5) very high,,,,,,,,,,,
16-03-2018,Ad,Florida,Product 1,499,1,499,on-time,no,(2) low,,,,,,,,,,,
16-03-2018,Ad,South Carolina,Product 1,499,7,3493,on-time,no,(1) very low,,,,,,,,,,,
16-03-2018,Ad,Tennessee,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
16-03-2018,Ad,Mississippi,Product 1,499,2,998,delayed,no,(4) high,,,,,,,,,,,
17-03-2018,Ad,Georgia,Product 1,499,3,1497,delayed,no,(3) ok,,,,,,,,,,,
22-03-2018,Ad,Mississippi,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
31-03-2018,Ad,North Carolina,Product 1,499,8,3992,delayed,no,(4) high,,,,,,,,,,,
01-04-2018,Ad,Mississippi,Product 1,499,4,1996,on-time,no,(3) ok,,,,,,,,,,,
01-04-2018,Ad,Florida,Product 1,499,5,2495,on-time,no,(4) high,,,,,,,,,,,
01-04-2018,Ad,South Carolina,Product 1,499,9,4491,on-time,no,(2) low,,,,,,,,,,,
05-04-2018,Ad,Tennessee,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
11-04-2018,Ad,Mississippi,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
11-04-2018,Ad,Florida,Product 1,499,5,2495,on-time,no,(1) very low,,,,,,,,,,,
16-04-2018,Ad,Tennessee,Product 1,499,5,2495,on-time,no,(4) high,,,,,,,,,,,
16-04-2018,Ad,Georgia,Product 1,499,10,4990,on-time,no,(2) low,,,,,,,,,,,
18-04-2018,Ad,North Carolina,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
19-04-2018,Ad,North Carolina,Product 1,499,3,1497,delayed,no,(4) high,,,,,,,,,,,
20-04-2018,Ad,South Carolina,Product 1,499,9,4491,delayed,no,(5) very high,,,,,,,,,,,
27-04-2018,Ad,Florida,Product 1,499,5,2495,on-time,no,(2) low,,,,,,,,,,,
27-04-2018,Ad,North Carolina,Product 1,499,7,3493,on-time,no,(4) high,,,,,,,,,,,
28-04-2018,Ad,Georgia,Product 1,499,5,2495,delayed,no,(2) low,,,,,,,,,,,
01-05-2018,Ad,Alabama,Product 1,499,8,3992,on-time,yes,(4) high,,,,,,,,,,,
09-05-2018,Ad,Georgia,Product 1,499,5,2495,delayed,no,(4) high,,,,,,,,,,,
09-05-2018,Ad,Mississippi,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
09-05-2018,Ad,Georgia,Product 1,499,8,3992,on-time,no,(4) high,,,,,,,,,,,
09-05-2018,Ad,South Carolina,Product 1,499,2,998,on-time,no,(3) ok,,,,,,,,,,,
09-05-2018,Ad,Georgia,Product 1,499,1,499,on-time,no,(3) ok,,,,,,,,,,,
15-05-2018,Ad,Mississippi,Product 1,499,4,1996,on-time,no,(3) ok,,,,,,,,,,,
17-05-2018,Ad,South Carolina,Product 1,499,7,3493,on-time,no,(4) high,,,,,,,,,,,
17-05-2018,Ad,Georgia,Product 1,499,8,3992,delayed,yes,(5) very high,,,,,,,,,,,
18-05-2018,Ad,Alabama,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
19-05-2018,Ad,Florida,Product 1,499,4,1996,on-time,no,(4) high,,,,,,,,,,,
21-05-2018,Ad,Mississippi,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
03-06-2018,Ad,South Carolina,Product 1,499,3,1497,delayed,yes,(1) very low,,,,,,,,,,,
06-06-2018,Ad,Mississippi,Product 1,499,3,1497,delayed,no,(3) ok,,,,,,,,,,,
06-06-2018,Ad,Tennessee,Product 1,499,2,998,on-time,no,(3) ok,,,,,,,,,,,
06-06-2018,Ad,Alabama,Product 1,499,1,499,delayed,no,(1) very low,,,,,,,,,,,
08-06-2018,Ad,Mississippi,Product 1,499,5,2495,on-time,no,(1) very low,,,,,,,,,,,
09-06-2018,Ad,Mississippi,Product 1,499,8,3992,delayed,yes,(2) low,,,,,,,,,,,
10-06-2018,Ad,Alabama,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
17-06-2018,Ad,Alabama,Product 1,499,7,3493,on-time,yes,(3) ok,,,,,,,,,,,
18-06-2018,Ad,North Carolina,Product 1,499,10,4990,on-time,no,(2) low,,,,,,,,,,,
19-06-2018,Ad,Mississippi,Product 1,499,10,4990,on-time,no,(4) high,,,,,,,,,,,
22-06-2018,Ad,Alabama,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
25-06-2018,Ad,Tennessee,Product 1,499,1,499,on-time,no,(1) very low,,,,,,,,,,,
25-06-2018,Ad,South Carolina,Product 1,499,9,4491,delayed,no,(2) low,,,,,,,,,,,
26-06-2018,Ad,Mississippi,Product 1,499,8,3992,delayed,no,(4) high,,,,,,,,,,,
26-06-2018,Ad,Tennessee,Product 1,499,1,499,delayed,no,(3) ok,,,,,,,,,,,
04-07-2018,Ad,Mississippi,Product 1,499,9,4491,on-time,yes,(4) high,,,,,,,,,,,
05-07-2018,Ad,Mississippi,Product 1,499,7,3493,on-time,no,(4) high,,,,,,,,,,,
07-07-2018,Ad,Tennessee,Product 1,499,5,2495,on-time,yes,(3) ok,,,,,,,,,,,
10-07-2018,Ad,Florida,Product 1,499,8,3992,on-time,no,(3) ok,,,,,,,,,,,
15-07-2018,Ad,Tennessee,Product 1,499,10,4990,delayed,yes,(2) low,,,,,,,,,,,
15-07-2018,Ad,Alabama,Product 1,499,7,3493,on-time,no,(1) very low,,,,,,,,,,,
30-07-2018,Ad,Tennessee,Product 1,499,3,1497,on-time,no,(1) very low,,,,,,,,,,,
30-07-2018,Ad,Tennessee,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
10-08-2018,Ad,North Carolina,Product 1,499,9,4491,on-time,no,(2) low,,,,,,,,,,,
12-08-2018,Ad,Alabama,Product 1,499,5,2495,delayed,no,(3) ok,,,,,,,,,,,
16-08-2018,Ad,North Carolina,Product 1,499,4,1996,on-time,no,(4) high,,,,,,,,,,,
16-08-2018,Ad,Tennessee,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
26-08-2018,Ad,South Carolina,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
29-08-2018,Ad,Alabama,Product 1,499,9,4491,on-time,no,(5) very high,,,,,,,,,,,
29-08-2018,Ad,Mississippi,Product 1,499,9,4491,on-time,no,(1) very low,,,,,,,,,,,
02-09-2018,Ad,Georgia,Product 1,499,2,998,on-time,no,(4) high,,,,,,,,,,,
02-09-2018,Ad,Mississippi,Product 1,499,10,4990,on-time,no,(4) high,,,,,,,,,,,
02-09-2018,Ad,Florida,Product 1,499,8,3992,on-time,no,(2) low,,,,,,,,,,,
03-09-2018,Ad,North Carolina,Product 1,499,1,499,on-time,yes,(4) high,,,,,,,,,,,
03-09-2018,Ad,Tennessee,Product 1,499,2,998,on-time,no,(2) low,,,,,,,,,,,
03-09-2018,Ad,South Carolina,Product 1,499,8,3992,on-time,no,(5) very high,,,,,,,,,,,
05-09-2018,Ad,South Carolina,Product 1,499,9,4491,on-time,no,(3) ok,,,,,,,,,,,
07-09-2018,Ad,Tennessee,Product 1,499,6,2994,on-time,yes,(5) very high,,,,,,,,,,,
08-09-2018,Ad,Mississippi,Product 1,499,4,1996,on-time,no,(3) ok,,,,,,,,,,,
10-09-2018,Ad,South Carolina,Product 1,499,3,1497,on-time,no,(5) very high,,,,,,,,,,,
21-09-2018,Ad,Florida,Product 1,499,3,1497,delayed,no,(5) very high,,,,,,,,,,,
22-09-2018,Ad,Tennessee,Product 1,499,5,2495,delayed,yes,(4) high,,,,,,,,,,,
23-09-2018,Ad,Georgia,Product 1,499,10,4990,on-time,no,(2) low,,,,,,,,,,,
24-09-2018,Ad,Florida,Product 1,499,4,1996,on-time,no,(5) very high,,,,,,,,,,,
27-09-2018,Ad,Tennessee,Product 1,499,8,3992,on-time,no,(1) very low,,,,,,,,,,,
06-10-2018,Ad,Alabama,Product 1,499,8,3992,on-time,no,(5) very high,,,,,,,,,,,
07-10-2018,Ad,Georgia,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
11-10-2018,Ad,Georgia,Product 1,499,10,4990,on-time,no,(4) high,,,,,,,,,,,
15-10-2018,Ad,Georgia,Product 1,499,5,2495,delayed,yes,(3) ok,,,,,,,,,,,
24-10-2018,Ad,Florida,Product 1,499,6,2994,on-time,no,(4) high,,,,,,,,,,,
27-10-2018,Ad,South Carolina,Product 1,499,8,3992,on-time,no,(5) very high,,,,,,,,,,,
04-11-2018,Ad,South Carolina,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
10-11-2018,Ad,Tennessee,Product 1,499,4,1996,on-time,yes,(4) high,,,,,,,,,,,
10-11-2018,Ad,South Carolina,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
13-11-2018,Ad,Georgia,Product 1,499,9,4491,on-time,yes,(3) ok,,,,,,,,,,,
14-11-2018,Ad,Tennessee,Product 1,499,10,4990,delayed,no,(2) low,,,,,,,,,,,
14-11-2018,Ad,North Carolina,Product 1,499,4,1996,on-time,no,(3) ok,,,,,,,,,,,
15-11-2018,Ad,Alabama,Product 1,499,2,998,delayed,no,(2) low,,,,,,,,,,,
21-11-2018,Ad,Tennessee,Product 1,499,8,3992,on-time,no,(5) very high,,,,,,,,,,,
28-11-2018,Ad,North Carolina,Product 1,499,2,998,on-time,no,(4) high,,,,,,,,,,,
04-12-2018,Ad,Georgia,Product 1,499,7,3493,delayed,no,(3) ok,,,,,,,,,,,
07-12-2018,Ad,North Carolina,Product 1,499,9,4491,on-time,no,(3) ok,,,,,,,,,,,
15-12-2018,Ad,South Carolina,Product 1,499,2,998,on-time,no,(3) ok,,,,,,,,,,,
15-12-2018,Ad,North Carolina,Product 1,499,8,3992,delayed,no,(3) ok,,,,,,,,,,,
18-12-2018,Ad,Alabama,Product 1,499,2,998,delayed,no,(4) high,,,,,,,,,,,
24-12-2018,Ad,Georgia,Product 1,499,6,2994,on-time,no,(1) very low,,,,,,,,,,,
25-12-2018,Ad,Tennessee,Product 1,499,6,2994,on-time,no,(5) very high,,,,,,,,,,,
30-12-2018,Ad,North Carolina,Product 1,499,8,3992,on-time,no,(2) low,,,,,,,,,,,
01-01-2019,Ad,Florida,Product 1,499,8,3992,delayed,no,(1) very low,,,,,,,,,,,
02-01-2019,Ad,Mississippi,Product 1,499,3,1497,delayed,no,(4) high,,,,,,,,,,,
09-01-2019,Ad,Alabama,Product 1,499,5,2495,delayed,yes,(4) high,,,,,,,,,,,
10-01-2019,Ad,Tennessee,Product 1,499,10,4990,delayed,no,(3) ok,,,,,,,,,,,
17-01-2019,Ad,Georgia,Product 1,499,2,998,on-time,no,(4) high,,,,,,,,,,,
19-01-2019,Ad,Mississippi,Product 1,499,6,2994,on-time,no,(3) ok,,,,,,,,,,,
19-01-2019,Ad,North Carolina,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
22-01-2019,Ad,North Carolina,Product 1,499,4,1996,delayed,no,(3) ok,,,,,,,,,,,
22-01-2019,Ad,Georgia,Product 1,499,7,3493,on-time,no,(3) ok,,,,,,,,,,,
24-01-2019,Ad,North Carolina,Product 1,499,10,4990,on-time,no,(2) low,,,,,,,,,,,
29-01-2019,Ad,Florida,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
05-02-2019,Ad,Georgia,Product 1,499,3,1497,delayed,yes,(3) ok,,,,,,,,,,,
07-02-2019,Ad,North Carolina,Product 1,499,3,1497,on-time,no,(3) ok,,,,,,,,,,,
11-02-2019,Ad,Florida,Product 1,499,5,2495,on-time,no,(3) ok,,,,,,,,,,,
11-02-2019,Ad,North Carolina,Product 1,499,3,1497,on-time,yes,(3) ok,,,,,,,,,,,
